,comments
305,"Часто заказываю книги на wb и зная, как упаковывают книги, очень переживала, что книга придет не в товарном виде. Слава богу, обошлось без дефектов. Надеюсь, здесь изменят политику в отношении книг и будут более качественно и ответственно подходить к упаковке книг, тем более книги не дешевые. Для сравнения букинистические книги приходят в хорошей картонной упаковке. Снимаю одну звезду за недоупаковку. А книга отличная👍"
306,"Пришло всё целое, отличная книга !"
307,Все соответствует
308,Отличная книга
309,Всё отлично! Спасибо!
310,Всё соответствует описанию!!! 👍👍👍
311,"Книга отличная, но пришла в тонкой разорванной пленочке. С побитыми углами."
312,Книга пришла в целости. Спасибо
313,"Книга пришла в отличном состоянии покупкой довольна, спасибо."
314,Супер шикарно великолепно оформления великолепное читается легко
315,"Книга пришла с рваной обложкой, кривая и весь упаковочный полиэтилен был разорван . Сервис-WB👎"
316,отличная книга
317,"Книга пришла в отличном состоянии, печать супер, листы тонкие но очень плотные"
318,"Очень странный перевод и много отсебятины. 
Некоторые слова даже у старых классиков типа Гоголя встречаются крайне редко, а тут такие выражения, что я лезу в интернет, дабы проверить такое слово вообще существует в русском языке?
И читать из-за необычных повседневных слов очень тяжело. Но стоит отдать должное авторам, перевод красивый и многие фразы повторяются не часто.

Рекомендую как стационарную книгу, с собой брать нереально, порвете."
319,Купила в подарок. Все замечательно
320,Всё отлично👍👏😆
321,"Книга пришла в отличном состоянии, спасибо)))))"
322,Отлично  👍🏻листы белые. Была упакованная в плёнку
323,Любимую трилогию купила сыну в подарок на день рождения. Ребёнок доволен!
324,Купила мужу.он очень доволен.запаковано отлично.спасибо
325,"Книга пришла убитая в хлам, вся кривая с рваной упаковкой и расшатанным корешком, тупа лайк"
326,Шикарная книга. Пришла целая. Пахнет будто только что с типографии.
327,В восторге от размеров) моя Прелессссть)))
328,"Хорошая книга, доехала в отличном состоянии, удобен такой формат, что вся история в одной книге) покупкой довольна)"
329,"Книга-супер, но пришла с вмятиной на обложке. Отказ"
330,"Нет слов, очень круто!!!"
331,"Книга пришла, в плане печати все хорошо, но нельзя ли как то понежнее с книгами то?"
332,"Книга очень красивая,но только вот перевел не везде точный"
333,"Давно искали эту книгу. Ребёнок доволен, читает с удовольствием."
334,Здравствуйте! Очень довольна покупкой. Книга просто огонь! Рекомендую к покупке.
335,"Всё пришло целое , нередимое,  хорошо упаковано."
336,Отличная книга в подарок. Просто супер! Рекомендую!
337,"Пришла без повреждений
Само издание просто чудесное. Читать одно удовольствие, да ещё и с иллюстрациями. Спасибо издательству и вб"
338,Пришла в идеальном состоянии!
339,"Заказал на подарок. Том зачётный, но в середине огроменое пятно. Ребят, не серьёзно!"
340,"Не тот перевод, к которому мы все привыкли. Большинство названий и имен другие: Фродо Торбинс вместо Беггинса и т.д."
341,"Хорошее издание, качественное,  рекомендую"
342,"Без повреждений,,большая книга,хороша для подарка."
343,"Книга плохо упакована, поэтому обложка с лицевой стороны повреждена. Внутри книгу не смогла оценить (в описании у нее красивое оформление), в пункте выдачи мне не разрешили снять упаковку. Возврат. 
Очень расстроена. Книгу заказывала на подарок. Теперь не успею купить новую."
344,Отличная книга и оформление
345,Книга пришла в отличном состоянии. Шрифт удобен для чтения. Иллюстрации ЧБ. Читается на одном дыхании!
346,"Книга просто шикарная, приехала в идеальном состоянии. Иллюстраций достаточно, то что черно-белые впечатлений от книги не портит, оформлена классно, текст в два столбца, шрифт идеальный. Давненько не было такой книги, которую просто держать в руках - чистый кайф."
347,"Книгу заказывала для сына. Заказ пришёл быстро)
Состояние идеальное!
Спасибо."
348,Прекрасное оформление. Отличный шрифт.
349,"Хорошая книга,спасибо)"
350,Книга дошла в отличном состоянии.
351,"Книга пришла целая. Приятно держать такой том в руке. Хороший шрифт, интересное оформление. Книга чётно-белая, но её это не портит.  Обложка твёрдая - красивая.  Покупала на подарок 🎁 сыну, который не особо любит читать. Эта книга прям зашла ему. Читает с удовольствием, не смотря на то что книга  не маленькая.  Сама начала читать, затягивает. Рекомендую . "
352,Добрый вечер. Книга пришла в хорошем качестве. Шрифт хороший. Пока ещё не читали. Была куплена на подарок. Мужу очень понравилось. Рекомендую.
353,"Спасибо, книга отличная, качество тоже. Шрифт то что надо. Дочка довольна! 👍"
354,"Обложка красивая, цена доступная, но страницы тонкие, а корка оторвалась ещё до того, как книга была дочитана( месяц после начала чтения, а книгу новой уже не назовешь."
355,Всё хорошо)
356,Пополнил свою коллекцию прекрасной книгой. Моя прелессссть. Всем добра! ;-)
357,"Заказывала брату в армию, книга пришла в отличном состоянии, хорошо упакована👍🏼"
358,Красивая книга
359,"Всё хорошо, только чернила чуть мажутся"
360,Очень хорошее качество.
361,Книга пришла в упаковке. Брака нет
362,Хорошая книга
363,"Доброго времени суток. 
Книга пришла аккуратно упакована, все в отличном состоянии. Ребёнок доволен))))."
364,Книга отличная. Прекрасно оформлена. Толстая.  Читать удобно.
365,ОТЛИЧНОЕ КАЧЕСТВО! СПАСИБО!
366,Очень качественная книга. Шрифт хороший. Спасибо!
367,"Книга потрясающая, оформление выше всяких похвал! Листы тонковаты, но я и не детям покупала)))"
368,"Книга пришла в идеальном состоянии. Покупала на новый год в подарок за 1089 руб. Дешевле чем в книжном 😌. 
Внутрь не заглядывала, так как запечатана на подарок. 
Спасибо издателю и магазину - помогаете делать подарки и не выходя из дома ☺"
369,"Книга красивая, в идеальном состоянии, сын доволен! И я тоже)"
370,"Книга пришла быстро в целости и сохранности, спасибо, буду читать"
371,"Отличное издание!
И Бильбо в этом переводе Торбинс"
372,В реале даже круче чем на фото)
373,🤗❤️🤗❤️🤗❤️🤗❤️🤗❤️🤗
374,"Красивое оформление, страницы белые, текст хорошо пропечатан. Шрифт в самый раз для комфортного чтения в 4 колонки, очень понравился такой стиль. 

Бильбо здесь Торбинс. Для меня в целом это не критично."
375,"Хорошая книга,соответствует описанию "
376,"Прекрасное красивое издание с приятным и привычным переводом (Бильбо здесь Бэггинс, если вы понимаете о чем я). Покупала в подарок, друг остался доволен:)"
377,Как всегда все супер у этого издательства! Все пришло в идеале! Огромное спасибо
378,Книга пришла в отличном состоянии
379,Отличная книга
380,"Пришла за 5 дней в отличном состоянии. Страницы белые, легко переворачиваются, не шуршат на пальцах. Печать чёткая, шрифт удобный для четырёх столбцов. Книга прекрасно выглядит, достаточно хорошо прошита, при получении товара нашёл всё превосходным"
381,"Качество шикарное, все в целости и сохранности!"
382,"Увлекательная книга! Всем советую. Качество печати хорошее, шрифт обычный, книга тяжёлая, прошита хорошо."
383,"Книга именинником оценена на 5 . Но... залом есть на переплёте, царапина немаленькая, странички испачканы...упаковка вся разорвана... забрала , так как не было времени делать возврат и заказывать снова... Книга стоит 952 ₽ - неужели нельзя было аккуратно упаковать! Заказ делала книжный не один раз и книги были с очень демократичной ценой, а упакованы были значительно лучше, чем эта стоимость которой не 95 ₽..."
384,Книга супер!
385,"Книга пришла в отличном состоянии, упакована, углы не помяты"
386,"Задняя часть обложки помята, листы ооочень тонкие, боишься перевернуть и порвать, сами листы бело-серого цвета. Знала бы что придёт подумала бы стоит ли отдавать такие деньги (1009р) за такую книгу."
387,"Книга целая, повреждений нет. Немного порвана упаковка, но это не беда. "
388,"Все отлично! Книга большая, тяжёлая, бумага белая, картинки тоже ничего))"
389,"Идеальное состояние,ни одного повреждения"
390,"Отличная книга, тяжелая. Брала в подарок сыну 11лет. Очень доволен."
391,"Книга пришла без повреждений, чему я очень рада, т.к.купила её в подарок. Доставка быстрая. Ну, а содержание-выше всяких похвал! Покупала для мальчика 11 лет."
392,"Хорошо упакована, красивая обложка и картинки. Рекомендую!"
393,"Хорошая книга. У меня уже быа из этой серии книга Ведьмак и очень рада, что теперь и Властелин Колец. Книга хорошая, страницы не тонкие, белые, шрифт как раз👍. Я довольна"
394,Книга большая. Обложка целая. Сын доволен...
395,"доволен. один минус, нет хоббита в книге"
396,"С книгами всегда везёт, приходит все в целости и сохранности. Цена ниже чем в магазинах. Очень понравилось)"
397,"Книга отличная, беру уже вторую из этой серии, первая была Ведьмак, ребенок в восторге, рекомендую."
398,Подруге понравилось)
399,Отличное издание
400,"Доставили в идеальном состоянии. Тоже покупала Ведьмака этой серии, разница в качестве бумаги есть. Обложки везде красивые. Но внутри совсем не подарочный вариант! У Ведьмака серая шероховатая, а у Властелина желтоватая и также шершавая."
401,Брала на подарок. Брат был очень доволен и качеством и иллюстрациями. Спасиибо
402,Отличная книга.
403,"Всё целое, качество на высоте."
404,"Несмотря на то,что в книга упакована,снизу немного поцарапаны страницы(((Менять не буду,т.к.брала на подарок,времени нет(("
405,"брал на подарок,  получатель в восторге))"
406,Можно брать. Прибыло в целости
407,"Классная, всего за 648 руб это просто  даром. Пришла в идеальном состоянии."
408,"Огромная шикарная книга! Купили ребенку 12 лет на подарок к новому году. Пришла хорошо упакованной, без заломов."
409,"Сама книга вполне. Хотя с хорошими иллюстрациями было бы лучше. Брал из этой серии ведьмака, качество бумаги намного хуже. Но главное доставка. Если ведьмака нормально упаковали, то тут пакет и порванная в нескольких местах упаковка. Проверйте, пока курьер не уехал."
410,"👍Обалденная книга, спасибо"
411,"Шикарная книга, спасибо огромное!"
412,Хорошее издание и перевод.
413,Любимая книга)
414,Все отлично.
415,"Книга прекрасная, без заломов и трещин, бумага белая, доставка очень быстрая, курьером на дом ! Курьер сразу отзвонился и в течении 30 минут привез заказ!!! Курьер кстати симпатичный , ещё небольшой плюсик 🤗"
416,Прекрасное издание! Отличная упаковка. Всем огромное СПАСИБО за работу!
417,Книжка пришла целая. Спасибо
418,Доставлено в отличном состоянии.
419,Все соответствует описанию
420,"Книгой полностью доволен, слегка помяты углы, но это частая история у книг так что ничего. Оформление книги понравилось, двухколонковый текст чем та даже нравится, есть дух старых книг в ней, для фантастики самое то."
421,"Пришла в отличном состоянии!
Очень нравится издательство,и оформление книги!!"
422,"Книга очень большая, в ней все 3 части ВК. Бумага крайне тонкая, текст в двух столбцах. Для домашнего чтения супер, на подарок не надо. Читать не начинала, не знаю что на счёт перевода (Сумкинс или Беггинс и тд)."
423,Классная книга! Все отлично
424,"Покупала ребёнку в подарок. Хороший переплёт, Карты. Книга понравилась"
425,"Всё хорошо. Брала в подарок дочке, она довольна."
426,"За свои деньги книга хорошая.Правда,качество бумаги не очень хорошее.Она слишком тонкая,такое же качество как и у обычных газет"
427,"Пришла раньше срока,все отлично. "
428,"Книга упакована хорошо, странички не мятые, переплёт целый. В книге есть карты, рисунки. В подарок заказывала, мужу понравилась."
429,"Книжка пришла замечательная! Упакована хорошо. Все 3 части с картами. Пришла вовремя, советую!"
430,"Дополню комментарий. В вопросах и ответах спрашивали про автора иллюстраций, так вот, это не Алан Ли, как ответил представитель издательства, а Я.Ашмарин.
А ещё в конце книги есть разные карты, как Средиземья, так и перемещений главных героев, очень познавательно и удобно!"
431,"Состояние книги идеальное, без дефектов. Само издание в целом понравилось. Размер с энциклопедию, толстый том, но не сильно тяжелый, так как бумага почти газетная, тонкая, держать в руках комфортно, я думала будет хуже. Непривычно, что напечатано в две колонки, но неудобно только в первое время, потом не замечаешь. Иллюстраций не много, но они есть и это хорошо, да и в целом оформление красивое. 
Что касается перевода. Перевод ВК - это целая наука, его изучают уже десятилетия и идеального нет, у каждого есть и плюсы и минусы. Данный перевод КистяМура я выбрала сознательно. Плюсы для меня - очень красивый, не сухой, язык, разница в речи орков, хоббитов и например эльфов, самый главный минус - налет древнерусской старины, былин, вот это бесит.Большое количество ругательств не считаю недостатком, орки есть орки, а на войне и эльф ругнуться может. К некоторым непривычным названиям (Ристания, Раздол) можно привыкнуть.
В целом, достойный экземпляр, но в книжном шкафу его сложно приткнуть :)"
432,"Хорошо оформленная книга. Приятно брать в руки. Читать тоже приятно, шрифт хороший. Листочки беленькие. Даже в подарок можно взять. Хорошая книга."
433,"Хорошее качество, большая, объёмная, для домашнего чтения, для того и покупалась. Спасибо."
434,"Книга хорошая, бумага конечно тонкая, но не газетная, белая. Читать очень приятно. Думаю что и для подарка такая книга сгодится. Для личного пользования отличный вариант."
435,Книга упакована в плёнку. Пришла в отличном состоянии. Шрифт хороший.
436,"Мне книга понравилась. Листы качественные, обложка прочная. Размер книги больше стандартного. Пришла в идеальном состоянии. "
437,"Пришла в целости. Приятное оформление, хороший перевод, нормальный шрифт."
438,"Книга хорошая, все нравится с исключением, когда открыла упакобку переплёт порезанный, мелочь, но осадок есть. Как будто её заклеивали"
439,"Отличная книга. Увесистая, хорошая бумага. Взял себе к ознакомлению. Фильмы в свое время не зашли, думаю, книги все-таки с бОльшей вероятностью мне понравятся. Пришла в отличном состоянии, без повреждений.  Wildberries пока радуют"
440,Отличная книга. Даже картинки есть. Удобно читать. Давно мечтала о такой книге.
441,"Книга отличная! Пришла в целости и сохранности, упакованная в пленку. Увесистый том, не для чтения в поездках))"
442,"Книга пришла в отличном состоянии, запакованная. Красивое оформление страниц. На некоторых даже есть картинки. еще понравилось ,что в одной книге сразу 3 части!!В восторге!!!"
443,"Отличная книга! Пришла целая, хорошо упакована."
444,Книга очень  красиво выглядит. На подарок вообще  отлично
445,"Большая книга, красивая, приятно в руках держать. Купила на подарок племяннице, думаю ей понравится."
446,"Книга пришла в заводской пленке, без повреждений. За это отдельное спасибо! Само издание понравилось. Приятно в руках даже подержать. Формат большой. Иллюстрации, конечно, не ах, но все же лучше, чем без них)) Страницы белые, не очень плотные. Обложка качественная, просто отличная. Довольна покупкой!"
447,Хорошее и красивое издание
448,Самая лучшая книга ! Очень интересная и увлекательная:) Пришла в хорошем состоянии. Иллюстраций мало. Страницы ср.плотности.  Спасибо WB:)
449,"Купила эту книгу взамен наших трех томиков в мягкой обложке, зачитанных до дыр( в переводе В.А. Маториной). Читала я своим сынам, тогда шести- и восьмилетнему  каждый вечер, перед сном, и , когда перевернула последнюю страницу, парни, не сговариваясь, заорали "" Давай сначала !"" А сама я познакомилась с хоббитами на страницах журнала ""Пионер"", напечатали тогда небольшой отрывок из первой книги. Читатели постарше должны помнить этот журнал, очень неплохой."
450,"В книге все три части..брала сыну-подростку на подарок..прочитав отзывы о переводе, пригла к выводу, что ланный-Кистяковский и Муравьев, для подростка подходит как нельзя лучше...качество книги на хорошее - переплет, бумага, шрифт,краска не воняет, на обложке тиснение золотого цвета, вообще на подарок за такие деньги супер! Да, и на самой книге указано возрастное ограничение 12+"
451,"Хорошее издание и качество. Но, имейте ввиду, что тут только 3 части властелина колец, если хотите все хроники Средиземья то Вам это издание не подойдёт."
452,"Когда брала, посмотрела на размер и на то, что книга была обернута в пакет. Но когда вскрыла упаковку, была неприятно удивлена. Книжка была надорвана с корешка и измята внутри. Шрифт и формат, как всегда у АСТ, полностью устраивает. Впрочем, бумага тонковата. Звезды сняла за качество доставки. Вообще, что-то качество в последнее воемя сильно хромает. Неправильные вложения, поврежденный товар. Практически монополия на рынке слишком их расслабила. Нехорошо."
453,"Подскажите, пожалуйста, чей перевод в данной книге?"
454,"Книга прятно удивила. Очень красивое издание. Подарить было бы не стыдно, но брала себе и читаю с удовольствием."
455,"Отличная книга! Яркая,отличный подарок вашим родным и близким!"
456,"Купила книгу,проверять не стала,принесла домой и после вскрытия обнаружила,что снизу порезан переплёт! Обидно"
457,"Книга большая. Внешний вид хороший. Бумага тонкая, но шрифт букв красивый и большой. Покупкой довольна. Обложка яркая, стильная, буквы золтые."
458,"Согласна с предыдущим отзывом. Купила внуку на Новый год, он был счастлив, заказала второму на Рождество, сегодня привезли. Увы, книга помятая, правый верхний угол просто сломан. Отказалась, хотя очень обидно: оставила мальчика без подарка. Я очень хорошо отношусь к магазину, но господа, я понимаю, что Вы не Книжный лабиринт, но все-таки, если не можете обеспечить нормальную доставку подарочных книг, не продавайте их."
459,"Хорошее подарочное издание. Страницы белые. Глубина не 1,4, а 3,5. Все три части. Иллюстрации черно-белые, на любителя. Прекрасный подарок под елочку для тех, кто любит печатные книги."
