,comments
80,Всё соответствует описанию!!! 👍👍👍
81,"Книга отличная, но пришла в тонкой разорванной пленочке. С побитыми углами."
82,Книга пришла в целости. Спасибо
83,"Книга пришла в отличном состоянии покупкой довольна, спасибо."
84,Супер шикарно великолепно оформления великолепное читается легко
85,"Книга пришла с рваной обложкой, кривая и весь упаковочный полиэтилен был разорван . Сервис-WB👎"
86,отличная книга
87,"Книга пришла в отличном состоянии, печать супер, листы тонкие но очень плотные"
88,"Очень странный перевод и много отсебятины. 
Некоторые слова даже у старых классиков типа Гоголя встречаются крайне редко, а тут такие выражения, что я лезу в интернет, дабы проверить такое слово вообще существует в русском языке?
И читать из-за необычных повседневных слов очень тяжело. Но стоит отдать должное авторам, перевод красивый и многие фразы повторяются не часто.

Рекомендую как стационарную книгу, с собой брать нереально, порвете."
89,Купила в подарок. Все замечательно
90,Всё отлично👍👏😆
91,"Книга пришла в отличном состоянии, спасибо)))))"
92,Отлично  👍🏻листы белые. Была упакованная в плёнку
93,Любимую трилогию купила сыну в подарок на день рождения. Ребёнок доволен!
94,Купила мужу.он очень доволен.запаковано отлично.спасибо
95,"Книга пришла убитая в хлам, вся кривая с рваной упаковкой и расшатанным корешком, тупа лайк"
96,Шикарная книга. Пришла целая. Пахнет будто только что с типографии.
97,В восторге от размеров) моя Прелессссть)))
98,"Хорошая книга, доехала в отличном состоянии, удобен такой формат, что вся история в одной книге) покупкой довольна)"
99,"Книга-супер, но пришла с вмятиной на обложке. Отказ"
100,"Нет слов, очень круто!!!"
101,"Книга пришла, в плане печати все хорошо, но нельзя ли как то понежнее с книгами то?"
102,"Книга очень красивая,но только вот перевел не везде точный"
103,"Давно искали эту книгу. Ребёнок доволен, читает с удовольствием."
104,Здравствуйте! Очень довольна покупкой. Книга просто огонь! Рекомендую к покупке.
105,"Всё пришло целое , нередимое,  хорошо упаковано."
106,Отличная книга в подарок. Просто супер! Рекомендую!
107,"Пришла без повреждений
Само издание просто чудесное. Читать одно удовольствие, да ещё и с иллюстрациями. Спасибо издательству и вб"
108,Пришла в идеальном состоянии!
109,"Заказал на подарок. Том зачётный, но в середине огроменое пятно. Ребят, не серьёзно!"
110,"Не тот перевод, к которому мы все привыкли. Большинство названий и имен другие: Фродо Торбинс вместо Беггинса и т.д."
111,"Хорошее издание, качественное,  рекомендую"
112,"Без повреждений,,большая книга,хороша для подарка."
113,"Книга плохо упакована, поэтому обложка с лицевой стороны повреждена. Внутри книгу не смогла оценить (в описании у нее красивое оформление), в пункте выдачи мне не разрешили снять упаковку. Возврат. 
Очень расстроена. Книгу заказывала на подарок. Теперь не успею купить новую."
114,Отличная книга и оформление
115,Книга пришла в отличном состоянии. Шрифт удобен для чтения. Иллюстрации ЧБ. Читается на одном дыхании!
116,"Книга просто шикарная, приехала в идеальном состоянии. Иллюстраций достаточно, то что черно-белые впечатлений от книги не портит, оформлена классно, текст в два столбца, шрифт идеальный. Давненько не было такой книги, которую просто держать в руках - чистый кайф."
117,"Книгу заказывала для сына. Заказ пришёл быстро)
Состояние идеальное!
Спасибо."
118,Прекрасное оформление. Отличный шрифт.
119,"Хорошая книга,спасибо)"
120,Книга дошла в отличном состоянии.
121,"Книга пришла целая. Приятно держать такой том в руке. Хороший шрифт, интересное оформление. Книга чётно-белая, но её это не портит.  Обложка твёрдая - красивая.  Покупала на подарок 🎁 сыну, который не особо любит читать. Эта книга прям зашла ему. Читает с удовольствием, не смотря на то что книга  не маленькая.  Сама начала читать, затягивает. Рекомендую . "
122,Добрый вечер. Книга пришла в хорошем качестве. Шрифт хороший. Пока ещё не читали. Была куплена на подарок. Мужу очень понравилось. Рекомендую.
123,"Спасибо, книга отличная, качество тоже. Шрифт то что надо. Дочка довольна! 👍"
124,"Обложка красивая, цена доступная, но страницы тонкие, а корка оторвалась ещё до того, как книга была дочитана( месяц после начала чтения, а книгу новой уже не назовешь."
125,Всё хорошо)
126,Пополнил свою коллекцию прекрасной книгой. Моя прелессссть. Всем добра! ;-)
127,"Заказывала брату в армию, книга пришла в отличном состоянии, хорошо упакована👍🏼"
128,Красивая книга
129,"Всё хорошо, только чернила чуть мажутся"
130,Очень хорошее качество.
131,Книга пришла в упаковке. Брака нет
132,Хорошая книга
133,"Доброго времени суток. 
Книга пришла аккуратно упакована, все в отличном состоянии. Ребёнок доволен))))."
134,Книга отличная. Прекрасно оформлена. Толстая.  Читать удобно.
135,ОТЛИЧНОЕ КАЧЕСТВО! СПАСИБО!
136,Очень качественная книга. Шрифт хороший. Спасибо!
137,"Книга потрясающая, оформление выше всяких похвал! Листы тонковаты, но я и не детям покупала)))"
138,"Книга пришла в идеальном состоянии. Покупала на новый год в подарок за 1089 руб. Дешевле чем в книжном 😌. 
Внутрь не заглядывала, так как запечатана на подарок. 
Спасибо издателю и магазину - помогаете делать подарки и не выходя из дома ☺"
139,"Книга красивая, в идеальном состоянии, сын доволен! И я тоже)"
140,"Книга пришла быстро в целости и сохранности, спасибо, буду читать"
141,"Отличное издание!
И Бильбо в этом переводе Торбинс"
142,В реале даже круче чем на фото)
143,🤗❤️🤗❤️🤗❤️🤗❤️🤗❤️🤗
144,"Красивое оформление, страницы белые, текст хорошо пропечатан. Шрифт в самый раз для комфортного чтения в 4 колонки, очень понравился такой стиль. 

Бильбо здесь Торбинс. Для меня в целом это не критично."
145,"Хорошая книга,соответствует описанию "
146,"Прекрасное красивое издание с приятным и привычным переводом (Бильбо здесь Бэггинс, если вы понимаете о чем я). Покупала в подарок, друг остался доволен:)"
147,Как всегда все супер у этого издательства! Все пришло в идеале! Огромное спасибо
148,Книга пришла в отличном состоянии
149,Отличная книга
150,"Пришла за 5 дней в отличном состоянии. Страницы белые, легко переворачиваются, не шуршат на пальцах. Печать чёткая, шрифт удобный для четырёх столбцов. Книга прекрасно выглядит, достаточно хорошо прошита, при получении товара нашёл всё превосходным"
151,"Качество шикарное, все в целости и сохранности!"
152,"Увлекательная книга! Всем советую. Качество печати хорошее, шрифт обычный, книга тяжёлая, прошита хорошо."
